Country,Total,classification,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,co2,debt,pm2.5,secondary_school,high_school,total_tax
Sao Tome and Principe,73.9,warning,5.8,6.3,4.8,7.4,6.1,7.6,6.7,6.7,4.6,6.8,4,7,2.42,3.95,4.02,1.92,8.75,4.29
Mexico,73.6,warning,7.7,5.2,5.8,5.7,7.5,6.2,6.6,6.1,6.2,6,4.2,6.4,4.46,5.71,4.03,6.05,6.4,4.66
Peru,73.5,warning,6.9,6.6,7.1,4.6,8,6.4,7.1,6.6,4.9,6.1,4.4,4.8,3.07,4.26,5.03,7.08,5.16,4.22
Saudi Arabia,73.4,warning,7.2,7.9,7.7,3.4,6.7,2.9,7.6,4.3,8.6,5.8,5.5,5.9,9.9,4.51,9.99,5.14,3.68,1.83
Cuba,73.1,warning,6.6,6.9,4.8,5.5,5.9,6.6,6.4,5,7.4,6,5,7,3.87,4.51,3.45,6.72,1.6,4.66
Armenia,72.2,warning,5.2,7,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1,3.15,3.99,6.5,5.14,3.73,4.39
Micronesia,71.9,warning,5.4,5.6,4.2,7,7.5,8.1,6.3,6.6,2.8,6.8,3.4,8.2,4.59,4.51,4.7,5.14,5.16,4.66
Guyana,71.4,warning,6.1,5.1,6.2,6.1,7.1,8.6,6.5,5.7,4.7,6.1,3.5,5.7,3.55,3.96,4.23,7.76,8.45,4.04
Suriname,71.2,warning,5.8,5.8,6.1,6.6,7.5,7.3,6.4,5,5.3,5.8,3.2,6.4,4.52,4.51,4.73,3.91,5.16,3.11
Namibia,71,warning,5.2,3.5,5.6,6.4,8.5,6.8,4.4,6.6,5.2,7.1,5.3,6.3,2.88,4.51,4.21,5.14,5.16,2.47
Kazakhstan,70.9,warning,6.3,7.7,6.5,6.5,5.6,3.5,7.5,5.4,7.1,5.6,3.5,5.6,9.38,4.63,1.86,8.05,3.05,3.23
Paraguay,70.9,warning,6.1,7.7,6.2,5.6,8.3,5.2,7.6,5.8,6.1,6,2.2,4.2,2.52,4.03,1.78,4.54,5.16,3.93
Macedonia,69.1,warning,5.7,6.7,7.6,5.9,6.5,6.4,6.4,4.2,4.6,4.2,4.9,5.9,4.59,4.51,4.7,5.14,5.16,4.66
Malaysia,68.5,warning,6.3,6.8,6.4,4.6,6.4,4.4,6.5,4.8,7.4,5.7,4.5,4.7,6.6,4.51,2.65,5.15,5.23,3.88
Samoa,68.5,warning,5.5,5.1,4.8,5.4,6.3,8.6,6,4.8,4.4,6.7,2.6,8.3,2.64,3.95,1.73,5.96,5.16,2.15
